,exemplaire 1,exemplaire2,Conv,Strassen,StrassenSeuil
3x3,0,1,3.6219886,46.2854847,9.3058384
,0,2,3.3842603,45.636579,7.8321168
,0,3,3.2193717,50.0414246,7.6784324
,0,4,5.5299332,72.4898333,14.7271698
,,,,,
4x4,0,1,3.5274335,43.9028711,6.4617734
,0,2,2.3112834,40.0934802,6.2792958
,0,3,2.3367487,35.3294491,6.6255242
,0,4,3.3949697,39.7368207,6.2521805
,,,,,
5x5,0,1,2.4583958,39.364582,7.4901347
,0,2,2.3509061,45.0190657,7.5183028
,0,3,2.9137984,42.643755,7.4262941
,0,4,3.0084526,42.7223503,7.495861
,,,,,
6x6,0,1,2.9041972,42.9528003,7.5074809
,0,2,2.5648586,34.0051135,5.9020529
,0,3,2.2891469,33.6128691,5.7127209
,0,4,2.2283344,32.968655,5.7766758
,,,,,
7x7,0,1,2.2302686,32.632128,5.7313168
,0,2,2.2238201,32.6555623,5.7199062
,0,3,2.2181206,35.5573921,9.7698299
,0,4,3.4397548,36.3197594,6.116615
,,,,,
8x8,0,1,2.3177032,34.7141072,6.1114505
,0,2,2.6459696,31.2085095,5.5329182
,0,3,1.9788818,28.6224327,5.2064347
,0,4,2.412702,29.9009479,5.4452714
